"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"EASTERN","St Charles",2020-03-29,20
"EASTERN","St Charles",2020-03-25,10
"EASTERN","St Charles",2020-03-24,5
"NORTHWEST","Kansas City",2020-03-08,1
"EASTERN","St louis",2020-03-01,2
"EASTERN","St louis",2020-04-01,72
"EASTERN","St louis",2020-03-30,87
"EASTERN","St Charles",2020-03-30,23
"NORTHWEST","Kansas City",2020-03-28,18
"EASTERN","St louis",2020-04-05,152
"NORTHWEST","Kansas City",2020-03-30,14
"EASTERN","St Charles",2020-03-03,2
"EASTERN","St louis",2020-03-31,89
"EASTERN","St Charles",2020-03-31,14
"NORTHWEST","Kansas City",2020-03-31,5
"NORTHWEST","Kansas City",2020-04-01,19
"EASTERN","St Charles",2020-04-01,16
"EASTERN","St louis",2020-02-14,1
"EASTERN","St louis",2020-02-02,1
"EASTERN","St louis",2020-04-02,85
"EASTERN","St Charles",2020-04-02,17
"EASTERN","St louis",2020-02-29,1
"EASTERN","St louis",2020-04-03,125
"EASTERN","St Charles",2020-04-03,22
"NORTHWEST","Kansas City",2020-04-02,10
"NORTHWEST","Kansas City",2020-04-03,16
"EASTERN","St louis",2020-04-04,119
"NORTHWEST","Kansas City",2020-03-29,4
"EASTERN","St Charles",2020-04-04,17
"EASTERN","St Charles",2020-04-05,19
"NORTHWEST","Kansas City",2020-04-04,12
"EASTERN","St louis",2020-04-06,147
"NORTHWEST","Kansas City",2020-04-05,13
"EASTERN","St Charles",2020-04-06,21
"NORTHWEST","Kansas City",2020-04-06,12
"EASTERN","St louis",2020-04-07,154
"EASTERN","St Charles",2020-04-07,26
"NORTHWEST","Kansas City",2020-04-07,18
"EASTERN","St louis",2020-04-08,153
"EASTERN","St louis",2020-04-16,117
"EASTERN","St Charles",2020-04-09,15
"EASTERN","St Charles",2020-04-08,21
"NORTHWEST","Kansas City",2020-04-08,16
"EASTERN","St louis",2020-04-09,140
"NORTHWEST","Kansas City",2020-04-09,17
"EASTERN","St Charles",2020-04-15,16
"EASTERN","St louis",2020-04-13,70
"NORTHWEST","Kansas City",2020-04-10,12
"EASTERN","St Charles",2020-04-10,11
"EASTERN","St louis",2020-04-11,108
"EASTERN","St Charles",2020-04-11,8
"NORTHWEST","Kansas City",2020-04-11,9
"EASTERN","St louis",2020-04-12,75
"EASTERN","St Charles",2020-04-13,18
"EASTERN","St Charles",2020-02-11,1
"EASTERN","St Charles",2020-04-12,11
"NORTHWEST","Kansas City",2020-04-13,8
"NORTHWEST","Kansas City",2020-04-12,15
"EASTERN","St louis",2020-04-14,107
"EASTERN","St Charles",2020-04-14,13
"NORTHWEST","Kansas City",2020-04-14,7
"EASTERN","St louis",2020-04-15,108
"NORTHWEST","Kansas City",2020-04-22,17
"EASTERN","St louis",2020-04-17,110
"NORTHWEST","Kansas City",2020-04-15,15
"EASTERN","St Charles",2020-04-16,12
"NORTHWEST","Kansas City",2020-04-16,10
"NORTHWEST","Kansas City",2020-04-17,9
"EASTERN","St louis",2020-04-18,79
"EASTERN","St Charles",2020-04-17,13
"EASTERN","St Charles",2020-04-18,9
"NORTHWEST","Kansas City",2020-04-18,7
"EASTERN","St louis",2020-04-19,79
"EASTERN","St louis",2020-04-20,115
"EASTERN","St Charles",2020-04-20,16
"EASTERN","St louis",2020-04-24,117
"NORTHWEST","Kansas City",2020-04-20,9
"EASTERN","St louis",2020-04-21,110
"NORTHWEST","Kansas City",2020-04-19,5
"NORTHWEST","Kansas City",2020-04-21,5
"EASTERN","St louis",2020-04-22,130
"EASTERN","St Charles",2020-04-21,9
"EASTERN","St Charles",2020-04-23,17
"EASTERN","St Charles",2020-04-22,7
"NORTHWEST","Kansas City",2020-04-23,8
"EASTERN","St louis",2020-04-23,108
"EASTERN","St Charles",2020-04-19,3
"EASTERN","St louis",2020-04-28,86
"NORTHWEST","Kansas City",2020-04-24,10
"EASTERN","St louis",2020-05-07,101
"EASTERN","St louis",2020-04-25,118
"EASTERN","St Charles",2020-04-24,12
"NORTHWEST","Kansas City",2020-04-25,16
"EASTERN","St Charles",2020-04-25,13
"NORTHWEST","Kansas City",2020-04-26,9
"EASTERN","St louis",2020-04-26,92
"EASTERN","St Charles",2020-04-26,6
"NORTHWEST","Kansas City",2020-04-27,7
"EASTERN","St louis",2020-04-27,80
"EASTERN","St Charles",2020-04-27,8
"NORTHWEST","Kansas City",2020-04-28,16
"EASTERN","St louis",2020-04-29,117
"NORTHWEST","Kansas City",2020-04-29,21
"EASTERN","St Charles",2020-04-29,15
"EASTERN","St louis",2020-04-30,94
"EASTERN","St Charles",2020-04-30,11
"NORTHWEST","Kansas City",2020-04-30,47
"EASTERN","St louis",2020-05-01,161
"EASTERN","St Charles",2020-04-28,4
"NORTHWEST","Kansas City",2020-05-01,38
"EASTERN","St louis",2020-05-04,64
"EASTERN","St Charles",2020-05-01,9
"EASTERN","St louis",2020-05-02,140
"NORTHWEST","Kansas City",2020-05-02,15
"EASTERN","St Charles",2020-05-02,6
